Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed (km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Stair Climbing,2025-04-14 08:51,2025-04-14 09:21,00:30:36,461.62,379.13,181,168.86,,,3812,124.55,,,,,
Outdoor Walk,2025-04-12 02:11,2025-04-12 02:42,00:31:08,110.59,96.79,139,120.68,1.03,1.99,1164,37.38,,,1.0,4.85,
Other,2025-04-10 11:47,2025-04-10 12:02,00:14:56,162.97,141.87,163,139.56,,,572,38.28,,,,,
Stair Climbing,2025-04-10 11:30,2025-04-10 11:46,00:15:58,184.12,184.12,171,161.22,,,1975,123.64,,,,,
Outdoor Walk,2025-03-28 18:02,2025-03-28 18:27,00:25:32,115.33,86.93,121,107.54,1.19,2.79,1124,44.02,,,,6.28,
Outdoor Walk,2025-03-17 17:13,2025-03-17 18:28,01:15:16,221.01,191.89,123,95.02,2.25,1.79,2090,27.77,,,1.0,27.29,
Outdoor Walk,2025-03-14 20:56,2025-03-14 21:16,00:19:06,96.8,70.21,140,128.08,1.03,3.23,1242,65,,,,,
Outdoor Walk,2025-03-14 17:47,2025-03-14 18:12,00:24:40,109.72,86.11,123,103.45,1.09,2.64,1280,51.87,,,,,
Outdoor Walk,2025-03-12 23:41,2025-03-13 00:06,00:24:20,84.72,58.27,110,100.81,1.11,2.75,1050,43.13,,,,,
Outdoor Walk,2025-02-28 18:28,2025-02-28 18:43,00:15:28,83.95,51.72,113,106.58,0.79,3.06,684,44.18,,,,,
Outdoor Walk,2025-02-26 15:02,2025-02-26 15:59,00:57:28,246.51,215.3,123,100.22,2.27,2.37,2185,38.01,,,2.0,5.37,
Hiking,2025-02-25 10:26,2025-02-25 12:25,01:59:28,888.05,662,146,102.1,3,1.51,4724,39.54,,,85.3822148033607,,
Outdoor Walk,2025-02-20 14:55,2025-02-20 15:15,00:20:09,99.55,68.71,127,110.98,1.05,3.13,649,32.21,,,,,
High Intensity Interval Training,2025-02-17 19:07,2025-02-17 20:04,00:57:48,707.41,706.43,187,159.28,,,968,16.74,,,,,
Outdoor Walk,2025-02-13 19:07,2025-02-13 19:38,00:31:24,123.21,99.92,143,115.33,1.55,2.95,1764,56.17,,,,2.95,
High Intensity Interval Training,2025-02-13 17:52,2025-02-13 19:07,01:07:24,800.46,657.64,184,143.61,,,1323,19.63,,,,,
Outdoor Walk,2025-02-13 17:36,2025-02-13 17:51,00:15:04,95.84,95.61,141,127.57,0.873,3.48,862,57.19,,,5.0,4.54,
Outdoor Walk,2025-02-13 10:44,2025-02-13 11:26,00:41:30,161.87,134.12,130,100.3,1.63,2.36,1495,36.01,,,2.0,72.78,
Outdoor Walk,2025-01-30 18:21,2025-01-30 18:57,00:36:09,135.77,104.6,132,99.6,1.31,2.18,1610,44.52,,,,,
Outdoor Walk,2025-01-24 18:24,2025-01-24 18:37,00:13:11,84.66,57.69,109,96.12,0.873,3.97,938,71.14,,,,,
Other,2025-01-14 09:31,2025-01-14 09:49,00:17:41,168.97,108.08,136,118.4,,,1015,57.36,,,,,
Stair Climbing,2025-01-14 09:19,2025-01-14 09:31,00:12:34,126.92,126.92,159,145.66,,,1013,80.6,,,,,
Stair Climbing,2025-01-12 10:47,2025-01-12 10:57,00:10:07,100.38,99.56,156,141.28,,,1619,159.84,,,1.0,,
Other,2025-01-12 10:25,2025-01-12 10:46,00:21:23,173.31,169.42,144,126.73,,,368,17.21,,,,,
Stair Climbing,2025-01-12 10:12,2025-01-12 10:24,00:11:13,113.45,113.45,166,143.99,,,1458,129.84,,,,,
